freq_cpd,amp_raw,amp_clean
0.0,1.0381875333828405,0.8646976706587324
0.05859375,2.8268086934438243,2.48513395345427
0.1171875,3.113422273952224,2.911972288808254
0.17578125,2.082664768069445,2.068063073730475
0.234375,0.9492876404723384,0.9721803751293179
0.29296874999999994,0.4687371870996454,0.45959545795866924
0.3515625,0.35894965093033326,0.3836965540322182
0.4101562499999999,0.3848262597647837,0.3865575550412194
0.46875,0.5296766306549332,0.5368480430683483
0.52734375,0.7165474769896162,0.7380022207603563
0.5859374999999999,0.7116278157864372,0.7097519734677155
0.64453125,0.5079914354997279,0.4952368295112119
0.703125,0.25008405412667667,0.2539224168185935
0.76171875,0.16297940213455003,0.13902982799974742
0.8203124999999998,0.2940613167337709,0.3065502781409315
0.87890625,0.2311518240284443,0.2572858361327838
0.9375,0.21265747287615935,0.19427976929883617
0.9960937499999998,0.5398138981642717,0.5084874540295229
1.0546875,0.336829171809426,0.3146050140413404
1.11328125,0.2145876109302595,0.2007894998099956
1.1718749999999998,0.3820182940100516,0.37822318050196985
1.23046875,0.28530541288583766,0.2723097680164743
1.2890625,0.27402409137759787,0.261615446727971
1.3476562499999998,0.28834470118378935,0.296441544430326
1.40625,0.21475040380388521,0.21990843750430175
1.4648437499999998,0.08560968678514877,0.09416758545185769
1.5234375,0.10212997267104461,0.13398655227042056
1.58203125,0.21747782261168308,0.24267464589778737
1.6406249999999996,0.27364152317131407,0.28074353010765135
1.69921875,0.2761226652322114,0.26838334870434544
1.7578125,0.23448984128941022,0.21045412938772515
1.8164062499999996,0.2376213181677474,0.21586401420533013
1.875,0.23992239141086832,0.22912498679743357
1.93359375,0.10235946724463595,0.09792594120178791
1.9921874999999996,0.21939012012078973,0.1877469940381919
2.05078125,0.22959146228940389,0.196009460311338
2.109375,0.050765230653423137,0.03488951992093828
2.1679687499999996,0.0949795221819607,0.11686024249206099
2.2265625,0.11698672945643579,0.12487498019114504
2.28515625,0.08734136923544787,0.06662397314239286
2.3437499999999996,0.06669120129614818,0.05760644881253156
2.40234375,0.07749290519273233,0.07775957470250397
2.4609375,0.07237432403211821,0.08168472492379261
2.5195312499999996,0.07592271392560837,0.10081119943688782
2.578125,0.07758103049834447,0.1002187774883061
2.63671875,0.04618172572551122,0.0662151238589979
2.6953124999999996,0.012610702194413556,0.022675813714517892
2.75390625,0.02273860797687841,0.01717667053926796
2.8125,0.0859818452251762,0.08273965374977174
2.8710937499999996,0.16054097407257972,0.14914912295906746
2.9296874999999996,0.1285477851936527,0.10476453265516578
2.98828125,0.05499244415530702,0.04155076997685914
3.046875,0.09915389459157536,0.08158992854045014
3.105468749999999,0.061633480369501926,0.04229998111994884
3.1640625,0.0597731279777141,0.0659273726595042
3.22265625,0.04388556443277351,0.052115897573167605
3.281249999999999,0.019831781547455324,0.013107718754517833
3.33984375,0.038549999904494335,0.03175518100885897
3.3984375,0.027065960068774847,0.029149015536166684
3.457031249999999,0.038229680751619144,0.036023435262295844
3.515625,0.07296471096838875,0.08109439291359637
3.57421875,0.0749669680031503,0.08918965798120569
3.632812499999999,0.060303622076992754,0.0720620564557454
3.69140625,0.030899106633427997,0.0507714871084647
3.75,0.024264933141758857,0.03614320638523018
