segment_id,mean_slope,dur_min,delta_pct,pump_on_share
0,-0.0020308933688056967,1152.0,-2.5917249417246353,0.033854166666666664
1,0.036217532467510694,21.0,0.9321386946386951,1.0
2,0.0008641727004337141,678.0,0.4148018648018592,0.13274336283185842
3,0.03550505050502838,9.0,0.2177156177156121,0.0
4,-0.001029863855972902,2070.0,-2.1325174825174855,0.02608695652173913
5,-0.027777777777799512,9.0,-0.34533799533799936,0.0
6,-0.008541666666688198,24.0,0.09801864801865179,0.0
7,-0.0274747474747694,9.0,-0.1723776223776241,0.0
8,0.0032070707070491716,126.0,0.4017482517482449,0.8571428571428571
9,0.028749999999977655,12.0,0.321911421911409,1.0
10,-0.0005363906926624448,1344.0,-0.8444055944055862,0.0625
11,0.034006734006712204,27.0,0.8975524475524566,1.0
12,0.004922086720845149,369.0,2.068465909090918,0.34146341463414637
13,-0.04316870629372815,39.0,-1.9841564685314665,0.0
14,0.00791666666664471,15.0,0.137412587412598,0.0
15,0.033194444444422266,9.0,0.36829836829838314,0.0
16,-0.002180879125538533,1077.0,-2.593924825174824,0.11142061281337047
17,0.028371212121190863,12.0,0.3271561771561693,1.0
18,-0.0012278828554211057,894.0,-1.1188811188811059,0.053691275167785234
19,-0.03348484848487006,9.0,-0.3374125874125724,0.0
20,-0.0008531258531472772,333.0,0.02276612276612866,0.0
21,-0.036949494949515965,15.0,-0.7483553483553607,0.2
22,0.006447811447790365,9.0,-0.024423724423726867,1.0
23,0.04186868686866594,15.0,0.8442890442890558,1.0
24,-0.008225108225129412,63.0,-0.6041958041958111,0.23809523809523808
25,-0.025346320346341548,21.0,-0.4629370629370726,0.0
26,-0.007818181818202529,375.0,-2.9157342657342724,0.0
27,-0.024090909090929452,9.0,-0.2032634032633922,0.0
28,-0.002258538562906718,897.0,-1.8696969696969887,0.0
29,-0.023131313131332838,9.0,-0.23589743589742795,0.0
30,0.01138888888886903,54.0,0.6669386169386087,0.2777777777777778
31,0.02880681818179825,24.0,0.66083916083916,1.0
32,-7.811680824094642e-05,867.0,0.015967365967355818,0.0726643598615917
33,-0.03479797979799959,9.0,-0.2649184149184123,0.0
34,0.0027171717171517854,15.0,-0.01919191919191121,0.0
35,0.033118686868666626,12.0,0.4791375291375317,0.0
36,-0.0010848947490366475,1965.0,-2.3258741258741367,0.013740458015267175
37,0.029891774891755343,21.0,0.6479020979021044,1.0
38,0.015966810966791124,63.0,0.9010489510489492,1.0
39,0.02799999999997993,15.0,0.34988344988344977,1.0
40,-0.0010078810079013135,819.0,-0.7651515151515156,0.06593406593406594
41,-0.03240530303032293,12.0,-0.36593822843822466,0.0
42,0.01354797979795999,18.0,0.22444638694638286,0.0
43,0.03358585858583881,9.0,0.2863636363636317,0.0
44,-0.003963317384389819,171.0,-0.6744755244755254,0.0
45,-0.04288510101012081,24.0,-1.242579642579642,0.0
46,0.013215488215468413,9.0,0.17517482517482108,0.0
47,0.037045454545434904,18.0,0.7954545454545467,0.0
48,-0.0020108251634182363,204.0,-0.3789044289044199,0.0
49,-0.03714330808082768,12.0,-0.6948572261072172,0.0
50,0.005596590909071541,12.0,0.13987470862471696,0.0
51,0.03287815656563696,30.0,1.0106594794094832,0.8
52,0.012878787878768021,81.0,0.8951048951048932,1.0
53,0.024898989898969656,18.0,0.4562937062936925,1.0
54,-0.00010205144227795095,873.0,-0.0008158508158544464,0.06529209621993128
55,-0.034613636363656754,15.0,-0.6307692307692321,0.0
56,0.004246212121191915,30.0,0.33983100233099606,0.0
57,-0.029343434343454305,9.0,-0.2037296037295988,0.0
58,-5.68181818382591e-05,27.0,0.16847319347320422,0.0
59,-0.02224116161618198,9.0,-0.1850233100233254,0.0
60,0.00130551700206204,393.0,0.5048368298368331,0.09923664122137404
61,0.030939393939374178,15.0,0.48205128205127323,1.0
62,0.009760802469115334,144.0,1.078205128205127,0.875
63,0.0468783068782862,21.0,1.2430069930070005,0.0
64,-0.002840259209765087,408.0,-1.2189685314685335,0.0
65,-0.0363131313131518,9.0,-0.45844988344987314,0.0
66,0.0063594276094071775,9.0,-0.03228438228437369,0.0
67,0.04013888888886835,18.0,0.9289627039626964,0.0
68,-0.0018161616161822196,225.0,-0.24918414918414555,0.0
69,-0.033825757575778305,12.0,-0.7120046620046736,0.0
70,-0.0007016978293779238,423.0,0.19452214452215344,0.0
71,-0.030000000000020413,9.0,-0.431818181818187,0.0
72,-0.006023253367023669,120.0,-0.8690116981783831,0.075
73,0.04999232521289314,51.0,2.692343304843334,1.0
74,0.014555785123946069,132.0,1.9552447552447632,0.8863636363636364
75,-0.047524200336721514,24.0,-1.3905626780626932,0.0
76,0.015618160774389897,48.0,0.7389835858585911,0.0
77,0.032138047138025906,9.0,0.3445804195804243,0.0
78,-0.003441301907989501,75.0,-0.3735819735819632,0.0
79,-0.038359521137320204,9.0,-0.32332944832944577,0.0
80,0.004204545454524379,12.0,0.013286713286703389,0.0
81,0.03632575757573654,12.0,0.6789044289044313,0.0
82,-0.0009525025536471279,534.0,-0.523018648018649,0.0
83,-0.04391233766235827,21.0,-1.1511946386946335,0.0
84,-0.0028300364758906357,108.0,0.0024184149184094395,0.0
85,-0.03510732323234412,12.0,-0.41448135198136526,0.0
86,-0.004769283746576976,66.0,-0.07665112665111451,0.0
87,-0.03191919191921223,9.0,-0.33298368298368075,0.0
