segment_id,mean_slope,dur_min,delta_pct,pump_on_share
0,-0.0020308933688049295,1152.0,-2.591724941724621,0.033854166666666664
1,0.03621753246751112,21.0,0.9321386946386951,1.0
2,0.006999458874437508,168.0,1.354545454545459,0.5357142857142857
3,-0.03328282828284948,9.0,-0.46282051282051384,0.0
4,-0.0005797495917470508,501.0,-0.16958041958042713,0.0
5,0.028686868686847628,9.0,0.20198135198134537,0.0
6,-0.0010002195871975197,2070.0,-2.0555944055944053,0.02608695652173913
7,-0.027777777777799096,9.0,-0.34533799533799936,0.0
8,-0.008541666666687486,24.0,0.09801864801865179,0.0
9,-0.027474747474768867,9.0,-0.1723776223776099,0.0
10,0.0032070707070498395,126.0,0.4017482517482449,0.8571428571428571
11,0.028749999999978626,12.0,0.321911421911409,1.0
12,-0.0005363906926616906,1344.0,-0.8444055944056004,0.0625
13,0.034006734006712946,27.0,0.8975524475524566,1.0
14,0.005604695604674303,333.0,1.785081585081599,0.3783783783783784
15,0.02814738292008867,12.0,0.2646747192201673,0.0
16,-0.0007369146005722724,12.0,0.20766052129687296,0.0
17,-0.04986601552719378,33.0,-1.673331214240335,0.0
18,-0.01855371900828542,9.0,-0.091650773468956,0.0
19,-0.019343434343455288,9.0,-0.38100233100232117,0.0
20,-0.001823135992094132,1101.0,-1.9939393939393995,0.10899182561307902
21,0.028371212121191463,12.0,0.3271561771561835,1.0
22,-0.0012278828554203372,894.0,-1.11888111888112,0.053691275167785234
23,-0.03204545454547509,9.0,-0.3340909090909179,0.0
24,-0.0010491071428776965,336.0,-0.12634032634032621,0.0
25,-0.027121212121232405,9.0,-0.23566433566433886,0.0
26,0.0014393939393736086,12.0,-0.04906759906759817,1.0
27,0.030643939393918775,12.0,0.521911421911426,1.0
28,-0.007148760330598952,66.0,-0.49440559440559184,0.2727272727272727
29,-0.025346320346341048,21.0,-0.4629370629370726,0.0
30,-0.007818181818201705,375.0,-2.9157342657342724,0.0
31,-0.024090909090928776,9.0,-0.20326340326340642,0.0
32,-0.0022585385629060196,897.0,-1.8696969696969887,0.0
33,-0.01646464646466539,9.0,-0.22051282051280907,0.0
34,0.01027777777775853,54.0,0.5917249417249337,0.2777777777777778
35,0.0288068181817989,24.0,0.66083916083916,1.0
36,-7.811680824025953e-05,867.0,0.015967365967355818,0.0726643598615917
37,-0.028585858585878077,9.0,-0.25058275058273694,0.0
38,0.00478787878785966,15.0,0.044522144522147755,0.0
39,0.03020202020200097,9.0,0.34102564102566646,0.0
40,-0.0036974789916160537,357.0,-1.2006993006993127,0.0
41,-0.047651515151534186,24.0,-1.3290209790209815,0.0
42,0.0009673659673469936,39.0,-0.010023310023299814,0.0
43,0.04371212121210233,24.0,1.3306526806526762,0.0
44,-0.00047005487952274464,1524.0,-0.9525641025641107,0.017716535433070866
45,0.029891774891756078,21.0,0.6479020979021186,1.0
46,0.015966810966791815,63.0,0.9010489510489492,1.0
47,0.027999999999980575,15.0,0.34988344988344977,1.0
48,-0.0011913846494334725,822.0,-0.971066433566449,0.06569343065693431
49,-0.026111111111130587,9.0,-0.12261072261071604,0.0
50,0.007537878787859769,18.0,0.08773310023310898,0.0
51,0.030643939393920256,12.0,0.32913752913752603,0.0
52,-0.004307359307378485,168.0,-0.6611888111888078,0.0
53,-0.04528138528140452,21.0,-1.1263403263403404,0.0
54,0.013787878787860081,9.0,0.09871794871794748,0.0
55,0.03739898989897093,18.0,0.7675990675990505,0.0
56,-0.001807783719567327,204.0,-0.3127039627039636,0.0
57,-0.03996392496394381,21.0,-1.1147241647241657,0.0
58,0.01919191919190065,9.0,0.11748251748251448,0.0
59,0.04561728395059863,27.0,1.1709790209790185,0.8888888888888888
60,0.012878787878768626,81.0,0.895104895104879,1.0
61,0.02489898989897056,18.0,0.4562937062937209,1.0
62,3.453654186982627e-05,816.0,-0.0009324009323847804,0.06985294117647059
63,-0.02920454545456493,12.0,-0.454662004662012,0.0
64,-0.0001377410468515185,33.0,0.0180652680652571,0.0
65,0.02934343434341491,9.0,0.32614607614608815,0.0
66,-0.019166666666686392,12.0,-0.3580419580419658,0.0
67,-0.025606060606080196,9.0,-0.3651515151515241,0.0
68,0.0015656565656370987,27.0,0.199650349650355,0.0
69,-0.029343434343453493,9.0,-0.2037296037295846,0.0
70,0.0007257893621338047,429.0,0.3426573426573327,0.09090909090909091
71,0.030939393939374595,15.0,0.48205128205127323,1.0
