freq_cpd,psd_raw,psd_clean
0.0,5876982.085133906,3869684.050772262
0.7196401799100449,3037032.431731313,2025117.0600922178
1.4392803598200898,45017.57024860429,32370.426565076967
2.1589205397301345,19979.00796496932,15507.510425584605
2.8785607196401797,7254.250739946673,5143.904289592905
3.5982008995502244,3215.5124647682846,2832.4075070820504
4.317841079460269,1814.643777397383,1818.615251835282
5.037481259370315,1393.5359030106456,1083.4342651460174
5.757121439280359,1107.3129879969497,869.0001566248397
6.476761619190404,791.978165600305,610.8078716580017
7.196401799100449,592.7602512094896,520.83634598283
7.916041979010494,478.23699464149394,399.09817043295385
8.635682158920538,464.35987907060814,321.6803003626491
9.355322338830586,392.95843989140093,308.27544727069306
10.07496251874063,315.57115397378294,229.58738787070718
10.794602698650674,375.99015537424907,243.61461410160962
11.514242878560719,362.3807186953295,258.47676550038864
12.233883058470765,346.11206856160413,243.01121803944216
12.953523238380807,267.9827294405008,218.65102839802353
13.673163418290851,235.4025112634225,211.50271722486045
14.392803598200897,219.11951336065212,157.7673450223914
15.112443778110944,204.52352861409918,131.55892345566403
15.832083958020988,188.53002517772094,134.37823459507868
16.551724137931032,155.64310935029192,113.02237793191324
17.271364317841076,160.02364721677964,125.30114312067283
17.991004497751124,152.09565942809036,111.07409470064428
18.710644677661172,165.4945183172724,112.0115342873639
19.430284857571216,146.0326163843464,118.44116435496692
20.14992503748126,108.76727545167937,92.03168866184419
20.869565217391305,102.24533602079731,82.00366355506304
21.58920539730135,97.44756249886684,70.15787040201208
22.308845577211393,98.12558862673096,70.13424053763715
23.028485757121437,105.9009742211911,68.51628946288054
23.74812593703149,115.66218953169239,66.25186869421506
24.46776611694153,113.45862715638147,70.86407589511626
25.187406296851577,91.66533375679656,55.82671872018645
25.907046476761614,83.93094635229859,48.40734249440456
26.626686656671662,75.32224450371221,45.55053204580678
27.346326836581703,73.68488770474296,41.081249568809824
28.065967016491754,82.41065463618214,54.68867293555618
28.785607196401795,79.80537137254623,58.172485663371155
29.505247376311843,65.91379022389988,49.3109314778656
30.224887556221887,74.25106909315055,52.5029898401449
30.94452773613193,65.44278442126463,37.28204731384638
31.664167916041976,62.06558232122901,43.46848983399696
32.38380809595202,68.59836615215139,46.04646298530398
33.103448275862064,61.96955353282782,35.71707982870437
33.82308845577211,57.8378222893005,41.472560293123344
34.54272863568215,49.422446781508086,45.204985016240585
35.2623688155922,54.065896135146396,39.15757943959225
35.98200899550225,68.54205704907599,42.63892331765628
36.70164917541229,68.65907541362519,42.22355176928092
37.421289355322344,66.7023169347513,38.446493660198776
38.14092953523239,54.963542012578195,29.578101151177933
38.86056971514243,55.427200967954874,33.58425017432251
39.58020989505248,62.834087072631405,35.7051706295052
40.29985007496252,63.64819718307291,33.408462633643964
41.01949025487256,64.05129129939988,30.67837822442041
41.73913043478261,48.73447107405347,24.683264404463046
42.458770614692654,54.63839395361076,28.691327465720292
43.1784107946027,49.916204349964204,28.69084429255821
43.89805097451274,38.94302764115059,21.47666128077666
44.617691154422786,42.850729472415836,21.107316509144347
45.33733133433283,52.60449356197436,23.01181569444095
46.056971514242875,50.431556255018926,31.49942491599008
46.776611694152926,47.734860874546776,23.23134495868622
47.49625187406298,48.5795155364443,18.433924748911792
48.21589205397301,56.5786368984931,19.82519609507023
48.93553223388306,52.622548775242585,18.300775293213054
49.65517241379311,49.53086742976764,20.89821471113694
50.374812593703155,44.123352973074276,20.266323888209488
51.09445277361319,51.5025955137401,23.638713011466532
51.81409295352323,46.281134469435955,26.9052196764026
52.53373313343327,42.44917075784312,21.36275798842916
53.253373313343324,39.14711807377185,21.289661720262952
53.97301349325336,34.889847262141835,16.790657385930484
54.692653673163406,33.254674336539786,21.03765385154364
55.41229385307346,47.8983458858103,25.865295662343172
56.13193403298351,42.36593697161087,18.30313100262716
56.85157421289354,39.44778066145776,14.567356414832702
