segment_id,mean_slope,dur_min,delta_pct,pump_on_share
0,-0.009976689976692807,15.0,-0.11972027972031185,0.0
1,-0.03980429292931461,9.0,-0.44743589743589496,0.0
2,0.00791666666664471,15.0,0.137412587412598,0.0
3,0.033194444444422266,9.0,0.36829836829838314,0.0
4,-0.002180879125538533,1077.0,-2.593924825174824,0.11142061281337047
5,0.028371212121190863,12.0,0.3271561771561693,1.0
6,-0.0012278828554211057,894.0,-1.1188811188811059,0.053691275167785234
7,-0.03348484848487006,9.0,-0.3374125874125724,0.0
8,-0.0008531258531472772,333.0,0.02276612276612866,0.0
9,-0.036949494949515965,15.0,-0.7483553483553607,0.2
10,0.006447811447790365,9.0,-0.024423724423726867,1.0
11,0.04186868686866594,15.0,0.8442890442890558,1.0
12,-0.008225108225129412,63.0,-0.6041958041958111,0.23809523809523808
13,-0.025346320346341548,21.0,-0.4629370629370726,0.0
14,-0.007818181818202529,375.0,-2.9157342657342724,0.0
15,-0.024090909090929452,9.0,-0.2032634032633922,0.0
16,-0.002258538562906718,897.0,-1.8696969696969887,0.0
17,-0.023131313131332838,9.0,-0.23589743589742795,0.0
18,0.01138888888886903,54.0,0.6669386169386087,0.2777777777777778
19,0.02880681818179825,24.0,0.66083916083916,1.0
20,-7.811680824094642e-05,867.0,0.015967365967355818,0.0726643598615917
21,-0.03479797979799959,9.0,-0.2649184149184123,0.0
22,0.0027171717171517854,15.0,-0.01919191919191121,0.0
23,0.033118686868666626,12.0,0.4791375291375317,0.0
24,-0.0010848947490366475,1965.0,-2.3258741258741367,0.013740458015267175
25,0.029891774891755343,21.0,0.6479020979021044,1.0
26,0.015966810966791124,63.0,0.9010489510489492,1.0
27,0.02799999999997993,15.0,0.34988344988344977,1.0
28,-0.0010078810079013135,819.0,-0.7651515151515156,0.06593406593406594
29,-0.03240530303032293,12.0,-0.36593822843822466,0.0
30,0.01354797979795999,18.0,0.22444638694638286,0.0
31,0.03358585858583881,9.0,0.2863636363636317,0.0
32,-0.003963317384389819,171.0,-0.6744755244755254,0.0
33,-0.04288510101012081,24.0,-1.242579642579642,0.0
34,0.013215488215468413,9.0,0.17517482517482108,0.0
35,0.037045454545434904,18.0,0.7954545454545467,0.0
36,-0.0020108251634182363,204.0,-0.3789044289044199,0.0
37,-0.03714330808082768,12.0,-0.6948572261072172,0.0
38,0.005596590909071541,12.0,0.13987470862471696,0.0
39,0.03287815656563696,30.0,1.0106594794094832,0.8
40,0.012878787878768021,81.0,0.8951048951048932,1.0
41,0.024898989898969656,18.0,0.4562937062936925,1.0
42,-0.00010205144227795095,873.0,-0.0008158508158544464,0.06529209621993128
43,-0.034613636363656754,15.0,-0.6307692307692321,0.0
44,0.004246212121191915,30.0,0.33983100233099606,0.0
45,-0.029343434343454305,9.0,-0.2037296037295988,0.0
46,-5.68181818382591e-05,27.0,0.16847319347320422,0.0
47,-0.02224116161618198,9.0,-0.1850233100233254,0.0
48,0.00130551700206204,393.0,0.5048368298368331,0.09923664122137404
49,0.030939393939374178,15.0,0.48205128205127323,1.0
50,0.009760802469115334,144.0,1.078205128205127,0.875
51,0.0468783068782862,21.0,1.2430069930070005,0.0
52,-0.002840259209765087,408.0,-1.2189685314685335,0.0
53,-0.0363131313131518,9.0,-0.45844988344987314,0.0
54,0.0063594276094071775,9.0,-0.03228438228437369,0.0
55,0.04013888888886835,18.0,0.9289627039626964,0.0
56,-0.0018161616161822196,225.0,-0.24918414918414555,0.0
57,-0.033825757575778305,12.0,-0.7120046620046736,0.0
58,-0.0007016978293779238,423.0,0.19452214452215344,0.0
59,-0.030000000000020413,9.0,-0.431818181818187,0.0
60,-0.006023253367023669,120.0,-0.8690116981783831,0.075
61,0.04999232521289314,51.0,2.692343304843334,1.0
62,0.014555785123946069,132.0,1.9552447552447632,0.8863636363636364
63,-0.047524200336721514,24.0,-1.3905626780626932,0.0
64,0.015618160774389897,48.0,0.7389835858585911,0.0
65,0.032138047138025906,9.0,0.3445804195804243,0.0
66,-0.003441301907989501,75.0,-0.3735819735819632,0.0
67,-0.038359521137320204,9.0,-0.32332944832944577,0.0
68,0.004204545454524379,12.0,0.013286713286703389,0.0
69,0.03632575757573654,12.0,0.6789044289044313,0.0
70,-0.0009525025536471279,534.0,-0.523018648018649,0.0
71,-0.04391233766235827,21.0,-1.1511946386946335,0.0
72,-0.0028300364758906357,108.0,0.0024184149184094395,0.0
73,-0.03510732323234412,12.0,-0.41448135198136526,0.0
74,-0.004769283746576976,66.0,-0.07665112665111451,0.0
75,-0.03191919191921223,9.0,-0.33298368298368075,0.0
76,0.00043560606058551816,66.0,0.42663170163169184,0.0
77,-0.044261363636384304,12.0,-0.8749708624708745,0.0
78,0.0030523989898786166,72.0,0.7285547785547806,0.0
79,-0.026344696969717488,12.0,-0.36896853146852493,0.0
80,0.001397727272706958,30.0,0.4642773892773988,0.0
81,-0.039172659209300645,24.0,-1.0969141535547777,0.0
82,0.00019036089273896033,1263.0,0.19472150390119225,0.14251781472684086
83,0.02658678941084323,42.0,1.087315462315459,0.0
84,0.007790533940204922,36.0,-0.09630331088663979,0.0
85,0.04212752525250477,18.0,0.9745629370629416,0.0
86,0.000566318926954154,183.0,-0.16841491841492484,0.06557377049180328
87,0.030497835497814662,42.0,1.2842657342657304,1.0
88,0.00798174048171926,234.0,1.9703962703962787,0.5384615384615384
89,-0.02791666666668792,12.0,-0.4885780885780804,0.0
90,-0.000575004705460836,483.0,-0.3091491841492058,0.0
91,0.03196969696967595,12.0,0.4731934731934757,0.0
