Timestamp,pct_full,pump_on,slope_per_min,slope_mean_s,slope_mean_m,slope_mean_l,pct_full_med9,delta_pct_9min,delta_pct_15min,lvl_std_m,since_pump_on_min,since_pump_off_min,battery,battery_slope,tte_min,tod_sin,tod_cos,dow_sin,dow_cos,is_daytime
2025-10-20 16:30:00,99.3,0,,,,,99.3,,,,,,80.0,,,-0.9238795325112868,-0.3826834323650895,0.0,1.0,1
2025-10-20 16:33:00,99.4,0,0.03333333333333618,0.03333333333333618,0.03333333333333618,0.03333333333333618,99.35,,,0.0707106781186658,,,80.0,0.0,,-0.9288095528719243,-0.3705574375098359,0.0,1.0,1
2025-10-20 16:36:00,99.4,0,0.0,0.01666666666666809,0.01666666666666809,0.01666666666666809,99.4,,,0.057735026918973656,,,80.0,0.0,,-0.9335804264972015,-0.3583679495453007,0.0,1.0,1
2025-10-20 16:39:00,99.75,0,0.11666666666666477,0.050000000000000315,0.050000000000000315,0.050000000000000315,99.4,0.10000000000000853,,0.1973786547054567,,,80.0,0.0,,-0.938191335922484,-0.34611705707749335,0.0,1.0,1
2025-10-20 16:42:00,99.35,0,-0.13333333333333522,-0.005555555555556813,0.004166666666666437,0.004166666666666437,99.4,0.05000000000001137,,0.17818529681206013,,,80.0,0.0,,-0.9426414910921783,-0.33380685923377124,0.0,1.0,1
2025-10-20 16:45:00,99.3,0,-0.01666666666666572,-0.01111111111111205,5.551115123125783e-18,5.551115123125783e-18,99.35,-0.05000000000001137,0.04999999999999716,0.17818529681206013,,,80.0,0.0,,-0.9469301294951056,-0.3214394653031618,0.0,1.0,1
2025-10-20 16:48:00,99.6,0,0.09999999999999905,-0.016666666666667287,0.013333333333332581,0.016666666666666514,99.35,-0.05000000000001137,0.0,0.1890767040118972,,,80.0,0.0,,-0.9510565162951535,-0.30901699437494756,0.0,1.0,1
2025-10-20 16:51:00,99.0,0,-0.1999999999999981,-0.03888888888888826,-0.026666666666667043,-0.014285714285714146,99.3,-0.10000000000000853,-0.10000000000000853,0.28939592256975716,,,80.0,0.0,5530.000000000054,-0.9550199444571866,-0.29654157497557104,0.0,1.0,1
2025-10-20 16:54:00,99.3,0,0.09999999999999905,0.0,-0.030000000000000193,3.469446951953614e-18,99.3,-0.04999999999999716,-0.10000000000000853,0.21330729007701227,,,80.0,0.0,,-0.958819734868193,-0.28401534470392265,0.0,1.0,1
2025-10-20 16:57:00,99.3,0,0.0,-0.033333333333333014,-0.003333333333333141,3.0839528461809902e-18,99.3,-0.04999999999999716,-0.10000000000000853,0.21213203435596065,,,80.0,0.0,,-0.9624552364536473,-0.2714404498650742,0.0,1.0,1
2025-10-20 17:00:00,99.15,0,-0.04999999999999716,0.016666666666667298,-0.00999999999999943,-0.004999999999999713,99.3,0.0,-0.04999999999999716,0.22248595461286289,,,80.0,0.0,15830.00000000091,-0.9659258262890683,-0.25881904510252063,0.0,1.0,1
2025-10-20 17:03:00,99.1,0,-0.016666666666670455,-0.022222222222222535,-0.03333333333333333,-0.010000000000000377,99.15,-0.14999999999999147,-0.19999999999998863,0.13038404810402562,,,80.0,0.0,7909.999999999702,-0.9692309097067544,-0.24615329302899286,0.0,1.0,1
2025-10-20 17:06:00,99.2,0,0.03333333333333618,-0.01111111111111048,0.013333333333333525,-0.006666666666666758,99.15,-0.14999999999999147,-0.14999999999999147,0.0894427190999672,,,80.0,0.0,11879.999999999838,-0.9723699203976767,-0.23344536385590514,0.0,1.0,1
2025-10-20 17:09:00,99.15,0,-0.01666666666666572,0.0,-0.00999999999999943,-0.019999999999999806,99.15,-0.14999999999999147,-0.14999999999999147,0.07582875444046998,,,80.0,0.0,3957.5000000000387,-0.9753423205085126,-0.22069743502150163,0.0,1.0,1
2025-10-20 17:12:00,98.9,0,-0.08333333333333333,-0.02222222222222096,-0.026666666666666096,-0.01499999999999962,99.15,0.0,-0.14999999999999147,0.11726039399552211,,,80.0,0.0,5260.000000000134,-0.9781476007338056,-0.2079116908177598,0.0,1.0,1
2025-10-20 17:15:00,99.0,0,0.03333333333333144,-0.022222222222222542,-0.010000000000000375,-0.009999999999999905,99.0,-0.15000000000000568,-0.29999999999999716,0.12041594578784855,,,80.0,0.0,7900.0000000000755,-0.9807852804032303,-0.19509032201612866,0.0,1.0,1
2025-10-20 17:18:00,99.0,0,0.0,-0.016666666666667298,-0.006666666666666285,-0.01999999999999981,99.0,-0.15000000000000568,-0.15000000000000568,0.12247448713907932,,,80.0,0.0,3950.0000000000377,-0.9832549075639545,-0.18223552549214778,0.0,1.0,1
2025-10-20 17:21:00,98.8,0,-0.06666666666666761,-0.011111111111112059,-0.02666666666666704,-0.006666666666666761,99.0,-0.15000000000000568,-0.15000000000000568,0.1303840481039545,,,80.0,0.0,11819.999999999833,-0.9855560590580776,-0.16934950384902486,0.0,1.0,1
2025-10-20 17:24:00,99.1,0,0.09999999999999905,0.011111111111110475,-0.0033333333333340877,-0.006666666666666761,99.0,0.0,-0.15000000000000568,0.11401754250979405,,,80.0,0.0,11864.99999999983,-0.9876883405951377,-0.15643446504023104,0.0,1.0,1
2025-10-20 17:27:00,99.1,0,0.0,0.011111111111110477,0.013333333333332578,-0.006666666666666761,99.1,0.09999999999999432,-0.05000000000001137,0.12247448713906288,,,80.0,0.0,11864.99999999983,-0.9896513868196702,-0.1434926219911794,0.0,1.0,1
